ifInOctets11,ifOutOctets11,ifOutDiscards11,ifInUcastPkts11,ifInNUcastPkts11,ifInDiscards11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
0,0,0,0,0,0,0,0,0,8,15,0,1,0,0,0,68,76,0,0,143,143,90,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,68,76,0,1,145,144,93,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,68,76,0,0,143,144,90,0,0,0,0,0,0,0,0,0,0,0
79220,494950,0,907,0,0,1092,0,0,8,14,0,0,0,0,0,68,76,0,0,144,144,94,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,0,68,76,0,0,144,143,91,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,68,76,0,0,143,144,92,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,0,68,77,0,0,145,144,94,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,68,77,0,1,144,144,93,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,68,76,0,0,145,144,93,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,68,76,0,0,143,144,91,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,0,68,76,0,0,145,144,93,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,68,77,0,0,143,143,91,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,17,0,0,0,0,0,68,76,0,0,144,145,94,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,68,76,0,0,144,143,90,0,0,0,0,0,0,0,0,0,0,0
72612,468445,0,837,0,0,1017,0,0,7,14,0,0,0,0,0,68,76,0,0,144,144,93,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,68,76,0,1,145,144,91,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,68,76,0,0,143,143,94,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,68,76,0,0,145,145,90,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,68,76,0,0,143,143,91,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,0,68,77,0,0,145,145,95,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,68,76,0,0,143,143,90,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,68,76,0,0,144,145,94,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,68,77,0,0,144,143,92,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,68,76,0,0,144,144,94,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,68,77,0,0,144,144,92,0,0,0,0,0,0,0,0,0,0,0
72616,471550,0,837,0,0,1018,0,0,9,19,0,0,0,0,0,68,76,0,0,145,145,95,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,68,77,0,0,144,144,91,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,68,76,0,0,144,145,95,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,17,0,0,0,0,0,68,77,0,0,144,143,91,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,68,76,0,0,145,145,95,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,19,0,0,0,0,0,68,77,0,0,144,144,91,0,0,0,0,0,0,0,0,0,0,0
