ifInOctets11,ifOutOctets11,ifOutDiscards11,ifInUcastPkts11,ifInNUcastPkts11,ifInDiscards11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
1199894,1014901,0,18665,0,0,0,0,6073,5979,5697,0,0,0,0,0,68,68,0,0,11329,11377,5861,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6216,6231,6276,0,0,0,0,0,68,68,0,0,13601,13501,6526,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6128,6149,6211,0,0,0,0,0,68,68,0,0,12237,12245,6132,0,0,0,0,0,0,0,0,0,0,0
1233642,1043502,0,19194,0,0,19195,0,6349,6331,6228,0,0,0,0,0,68,68,0,0,13704,13718,6876,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6397,6381,6380,0,0,0,0,0,68,68,0,0,11481,11409,5749,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5906,5975,5989,0,0,0,0,0,68,68,0,0,13145,13249,6566,0,0,0,0,0,0,0,0,0,0,0
1210750,1023804,0,18838,0,0,18833,0,6308,6279,6308,0,0,0,0,0,69,68,0,0,11391,11387,5722,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5890,5859,5798,0,0,0,0,0,71,68,0,0,11962,11928,5959,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5968,6105,6110,0,0,0,0,0,68,68,0,0,11977,11991,5971,0,0,0,0,0,0,0,0,0,0,0
1754072,1481042,0,27297,0,0,27267,0,9990,9882,9858,0,0,0,0,0,68,68,0,0,20769,20745,10453,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6947,7017,7056,0,0,0,0,0,68,68,0,0,13922,13938,6900,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5775,5767,5780,0,0,0,0,0,68,68,0,0,15950,15932,7995,0,0,0,0,0,0,0,0,0,0,0
1630078,1377990,0,25390,0,0,25392,0,12596,12630,12641,0,0,0,0,0,68,68,0,0,20830,20807,10401,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6439,6346,6280,0,0,0,0,0,68,68,0,0,12383,12620,6427,0,0,0,0,0,0,0,0,0,0,0
2077340,1697378,0,32404,0,0,31347,0,25550,26635,25615,0,0,0,0,0,71,71,0,0,52365,52131,25420,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7369,7355,7406,0,0,0,0,0,68,68,0,0,16094,16738,8747,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9132,9132,9162,0,0,0,0,0,68,68,0,0,27123,27598,13978,0,0,0,0,0,0,0,0,0,0,0
2320446,1946298,0,36178,0,0,35916,0,22838,23812,23882,0,0,0,0,0,69,69,0,0,58636,63894,35092,0,0,0,0,6,0,0,0,0,0,0
